,Method,Energy,Name,Basis Set
0,HF,-74.96055195185389,water,STO-3G
1,CASCI,-75.00947866552998,water,STO-3G
2,SCI,-75.00947823753272,water,STO-3G
0,HF,-55.4543178067778,ammonia,STO-3G
1,CASCI,-55.51992920379487,ammonia,STO-3G
2,SCI,-55.51989427535215,ammonia,STO-3G
0,HF,-39.72662299977728,methane,STO-3G
1,CASCI,-39.80615652728781,methane,STO-3G
2,SCI,-39.80596822375412,methane,STO-3G
0,HF,-112.35375475020932,formaldehyde,STO-3G
1,CASCI,-112.50124997941413,formaldehyde,STO-3G
2,SCI,-112.50098753440211,formaldehyde,STO-3G
0,HF,-77.0712327946771,ethylene,STO-3G
1,CASCI,-77.23503644577856,ethylene,STO-3G
2,SCI,-77.23391723344416,ethylene,STO-3G
0,HF,-78.30581623656136,ethane,STO-3G
1,CASCI,-78.45323232971093,ethane,STO-3G
2,SCI,-78.44895522793473,ethane,STO-3G
0,HF,-113.54475891090856,methanol,STO-3G
1,CASCI,-113.66260871377034,methanol,STO-3G
2,SCI,-113.66076549506197,methanol,STO-3G
0,HF,-153.01654174653538,"buta-1,3-diene",STO-3G
1,SCI,-153.30540944180342,"buta-1,3-diene",STO-3G
0,HF,-153.02489495904774,but-1-yne,STO-3G
1,SCI,-153.30810150210158,but-1-yne,STO-3G
0,HF,-189.48042718880575,prop-2-en-1-ol,STO-3G
1,SCI,-189.7270157531005,prop-2-en-1-ol,STO-3G
0,HF,-213.11646945449593,(Z)-1-fluoroprop-1-ene,STO-3G
1,SCI,-213.34361380985132,(Z)-1-fluoroprop-1-ene,STO-3G
0,HF,-332.09759248992634,fluoroform,STO-3G
1,SCI,-332.22169497006666,fluoroform,STO-3G
0,HF,-76.02596141882806,water,cc-pVDZ
1,CASCI,-76.03188419380385,water,cc-pVDZ
2,SCI,-76.03188381663911,water,cc-pVDZ
0,HF,-56.195608336403346,ammonia,cc-pVDZ
1,CASCI,-56.20672830631742,ammonia,cc-pVDZ
2,SCI,-56.20670829088024,ammonia,cc-pVDZ
0,HF,-40.19870159906088,methane,cc-pVDZ
1,CASCI,-40.21169624560001,methane,cc-pVDZ
2,SCI,-40.21152551768289,methane,cc-pVDZ
0,HF,-113.87278068833952,formaldehyde,cc-pVDZ
1,CASCI,-113.91428995565336,formaldehyde,cc-pVDZ
2,SCI,-113.9141865745518,formaldehyde,cc-pVDZ
0,HF,-78.03927594698773,ethylene,cc-pVDZ
1,CASCI,-78.0787736741331,ethylene,cc-pVDZ
2,SCI,-78.07850389815331,ethylene,cc-pVDZ
0,HF,-79.23461206165858,ethane,cc-pVDZ
1,CASCI,-79.26072124539736,ethane,cc-pVDZ
2,SCI,-79.25993081164425,ethane,cc-pVDZ
0,HF,-115.04878715647833,methanol,cc-pVDZ
1,CASCI,-115.06846285035914,methanol,cc-pVDZ
2,SCI,-115.06792817654248,methanol,cc-pVDZ
0,HF,-154.933920403517,"buta-1,3-diene",cc-pVDZ
1,SCI,-155.01545095114778,"buta-1,3-diene",cc-pVDZ
0,HF,-154.91138827376642,but-1-yne,cc-pVDZ
1,SCI,-155.00044836423945,but-1-yne,cc-pVDZ
0,HF,-191.9364953941601,prop-2-en-1-ol,cc-pVDZ
1,SCI,-191.9974808870427,prop-2-en-1-ol,cc-pVDZ
0,HF,-215.93696121769392,(Z)-1-fluoroprop-1-ene,cc-pVDZ
1,SCI,-215.9980186576996,(Z)-1-fluoroprop-1-ene,cc-pVDZ
0,HF,-336.78678353222125,fluoroform,cc-pVDZ
1,SCI,-336.8244320005772,fluoroform,cc-pVDZ
0,HF,-76.04092221706564,water,aug-cc-pVDZ
1,CASCI,-76.04098240842902,water,aug-cc-pVDZ
2,SCI,-76.04098182088691,water,aug-cc-pVDZ
0,HF,-56.20522331321214,ammonia,aug-cc-pVDZ
1,CASCI,-56.205308882164026,ammonia,aug-cc-pVDZ
2,SCI,-56.205306635176875,ammonia,aug-cc-pVDZ
0,HF,-40.19961406335118,methane,aug-cc-pVDZ
1,CASCI,-40.199729458049205,methane,aug-cc-pVDZ
2,SCI,-40.199723091597065,methane,aug-cc-pVDZ
0,HF,-113.88205897278898,formaldehyde,aug-cc-pVDZ
1,CASCI,-113.88484230090296,formaldehyde,aug-cc-pVDZ
2,SCI,-113.88483356671276,formaldehyde,aug-cc-pVDZ
0,HF,-78.04300970100161,ethylene,aug-cc-pVDZ
1,CASCI,-78.04543822779308,ethylene,aug-cc-pVDZ
2,SCI,-78.04541804509569,ethylene,aug-cc-pVDZ
0,HF,-79.2369776766019,ethane,aug-cc-pVDZ
1,CASCI,-79.2371499656381,ethane,aug-cc-pVDZ
2,SCI,-79.23712839159933,ethane,aug-cc-pVDZ
0,HF,-115.0614599728764,methanol,aug-cc-pVDZ
1,CASCI,-115.06157905558364,methanol,aug-cc-pVDZ
2,SCI,-115.06155420491253,methanol,aug-cc-pVDZ
0,HF,-154.93991303733327,"buta-1,3-diene",aug-cc-pVDZ
1,SCI,-154.95062843895988,"buta-1,3-diene",aug-cc-pVDZ
0,HF,-154.91678521982476,but-1-yne,aug-cc-pVDZ
1,SCI,-154.91794247575132,but-1-yne,aug-cc-pVDZ
0,HF,-191.9516344755187,prop-2-en-1-ol,aug-cc-pVDZ
1,SCI,-191.95377196547832,prop-2-en-1-ol,aug-cc-pVDZ
0,HF,-215.9496895929251,(Z)-1-fluoroprop-1-ene,aug-cc-pVDZ
1,SCI,-215.95041154153296,(Z)-1-fluoroprop-1-ene,aug-cc-pVDZ
0,HF,-336.812789763256,fluoroform,aug-cc-pVDZ
1,SCI,-336.81288325096364,fluoroform,aug-cc-pVDZ
